Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization
EG12410	b2467	2582903	2583478	EG12410-MONOMER	PARTIAL
G0-16733	b4738	1212260	1212304	MONOMER0-4415	UNCHARACTERIZED
G6290	b0530	558212	558754	G6290-MONOMER	PARTIAL
G7919	b4309	4536614	4537594	G7919-MONOMER	WELL-CHARACTERIZED
EG20053	b3691	3870438	3871730	YIDT-MONOMER	WELL-CHARACTERIZED
EG10873	b3986	4180560	4180925	MONOMER0-2811 // EG10873-MONOMER	WELL-CHARACTERIZED
EG11804	b2991	3139977	3140318	EG11804-MONOMER	WELL-CHARACTERIZED
EG11568	b0046	47246	47776	EG11568-MONOMER	WELL-CHARACTERIZED
EG30113	b2402	2521051	2521126	valX-tRNA	WELL-CHARACTERIZED
EG10125	b0435	454472	454789	MONOMER0-4536 // EG10125-MONOMER	PARTIAL
G6227	b0378	397872	398966	G6227-MONOMER	PARTIAL
G6142	b0270	285395	286777	B0270-MONOMER	PARTIAL
G0-17032	b4786	3111266	3111325	MONOMER0-4498	UNCHARACTERIZED
EG11174	b3121	3268415	3269602	EG11174-MONOMER	UNCHARACTERIZED
G7206	b2335	2451072	2451584	G7206-MONOMER	PARTIAL
EG11234	b1692	1773789	1774655	EG11234-MONOMER	PARTIAL
G0-17119	b4839	1978176	1978395	RNA0-435	PARTIAL
EG11692	b3665	3843964	3845730	EG11692-MONOMER	WELL-CHARACTERIZED
EG10024	b0114	123017	125680	E1P-MONOMER	WELL-CHARACTERIZED
EG10550	b4024	4231884	4233233	ASPKINIII-MONOMER	WELL-CHARACTERIZED
EG11231	b1717	1799802	1799999	EG11231-MONOMER	WELL-CHARACTERIZED
EG10169	b2313	2430275	2430763	EG10169-MONOMER	PARTIAL
G7913	b4300	4526106	4526888	G7913-MONOMER	PARTIAL
G0-10470	b4557	3884816	3885073	MONOMER0-2692	WELL-CHARACTERIZED
G7317	b2506	2630326	2630865	G7317-MONOMER	PARTIAL
EG10818	b3752	3937294	3938223	RIBOKIN-MONOMER	WELL-CHARACTERIZED
G6111	b0227	246712	247461	G6111-MONOMER	UNCHARACTERIZED
G6594	b1150	1205549	1205731	G6594-MONOMER	UNCHARACTERIZED
EG10928	b0377	396639	397859	SBMA-MONOMER	WELL-CHARACTERIZED
EG11266	b3615	3789047	3790081	EG11266-MONOMER	WELL-CHARACTERIZED
EG50011	b3177	3324063	3324911	H2PTEROATESYNTH-MONOMER	WELL-CHARACTERIZED
G0-10436	b4510	578327	578509	MONOMER0-2658	PARTIAL
EG30058	b0673	697057	697133	metT-tRNA	WELL-CHARACTERIZED
G7199	b2324	2441764	2443770	G7199-MONOMER	WELL-CHARACTERIZED
G6462	b0879	920347	922293	MACB	WELL-CHARACTERIZED
G7543	b2977	3123827	3124231	G7543-MONOMER	PARTIAL
EG11251	b1214	1267320	1268129	EG11251-MONOMER	UNCHARACTERIZED
G6678	b1354	1419168	1419344		
G6684	b1360	1421983	1422729	G6684-MONOMER	PARTIAL
EG10540	b3458	3596451	3597560	LIVK-MONOMER	WELL-CHARACTERIZED
G6838	b1580	1652896	1653915	G6838-MONOMER	PARTIAL
G7085	b2005	2077569	2077943	G7085-MONOMER	WELL-CHARACTERIZED
G7256	b2408	2525127	2525891	G7256-MONOMER	PARTIAL
EG11923	b4026	4235906	4236148	EG11923-MONOMER	UNCHARACTERIZED
EG12381	b2676	2803502	2804461	NRDF-MONOMER	WELL-CHARACTERIZED
EG10071	b1876	1960062	1961795	ARGS-MONOMER	WELL-CHARACTERIZED
G7566	b3013	3157650	3158576	G7566-MONOMER	UNCHARACTERIZED
EG11540	b1004	1067112	1067708	PD01343	WELL-CHARACTERIZED
G6583	b1138	1197533	1198237	G6583-MONOMER	UNCHARACTERIZED
G7528	b2952	3095820	3096386	G7528-MONOMER	UNCHARACTERIZED
EG30063	b4439	2313084	2313176	MICF-RNA	WELL-CHARACTERIZED
EG11373	b2558	2695801	2697357	EG11373-MONOMER	WELL-CHARACTERIZED
G6851	b1593	1666524	1667219	G6851-MONOMER	WELL-CHARACTERIZED
G6246	b0446	467412	468230	G6246-MONOMER	WELL-CHARACTERIZED
EG10519	b0918	970852	971598	CPM-KDOSYNTH-MONOMER	WELL-CHARACTERIZED
EG10452	b2306	2423736	2424509	HISP-MONOMER	WELL-CHARACTERIZED
EG11377	b3018	3162744	3163481	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	WELL-CHARACTERIZED
G7676	b3222	3369475	3370350	NANK-MONOMER	WELL-CHARACTERIZED
EG10353	b2805	2939368	2940099	PD00444	WELL-CHARACTERIZED
G7855	b4192	4418561	4419625	G7855-MONOMER	WELL-CHARACTERIZED
EG11434	b1531	1619574	1619957	PD00365	WELL-CHARACTERIZED
EG10734	b3728	3910485	3911525	PSTS-MONOMER	WELL-CHARACTERIZED
EG11682	b3204	3346578	3347069	MONOMER0-4293 // EG11682-MONOMER	WELL-CHARACTERIZED
EG12216	b3470	3608751	3608996	EG12216-MONOMER	WELL-CHARACTERIZED
EG10480	b2719	2843443	2844210	HYCG-MONOMER	WELL-CHARACTERIZED
EG11500	b1099	1155762	1156766	EG11500-MONOMER	WELL-CHARACTERIZED
G6214	b4579			G6214-MONOMER	
EG11843	b3878	4067240	4069276	EG11843-MONOMER	WELL-CHARACTERIZED
EG30065	b2967	3110366	3110441	pheV-tRNA	WELL-CHARACTERIZED
EG12192	b2615	2750831	2751709	MONOMER0-541	WELL-CHARACTERIZED
G7646	b3152	3298211	3298846	G7646-MONOMER	PARTIAL
G7361	b2626	2760547	2761173	G7361-MONOMER	UNCHARACTERIZED
EG10483	b2726	2850647	2850997	EG10483-MONOMER	WELL-CHARACTERIZED
EG10450	b2023	2094535	2095125	GLUTAMIDOTRANS-MONOMER	WELL-CHARACTERIZED
EG11135	b1768	1851887	1852528	NICOTINAMID-MONOMER	WELL-CHARACTERIZED
EG30060	b2816	2947607	2947683	RNA0-306	WELL-CHARACTERIZED
EG10643	b1221	1275179	1275829	PHOSPHO-NARL // NARL-MONOMER	WELL-CHARACTERIZED
G6931	b1726	1808697	1809233	G6931-MONOMER	UNCHARACTERIZED
G0-10601	b4610	2969330	2969476	MONOMER0-2825	UNCHARACTERIZED
G7402	b2674	2800965	2801375	G7402-MONOMER	PARTIAL
EG12432	b1694	1775587	1777182	EG12432-MONOMER	PARTIAL
EG11630	b0855	894991	896124	POTG-MONOMER	WELL-CHARACTERIZED
G7365	b2630	2765918	2766991	G7365-MONOMER	WELL-CHARACTERIZED
EG11463	b3816	4001426	4002376	CORA-MONOMER	WELL-CHARACTERIZED
EG11930	b4047	4260321	4260575	EG11930-MONOMER	UNCHARACTERIZED
EG10141	b1737	1819856	1821214	CELB-MONOMER	WELL-CHARACTERIZED
G812	b4237	4459900	4460364	RNTRACTIV-MONOMER	WELL-CHARACTERIZED
G7014	b1841	1924595	1924969	G7014-MONOMER	WELL-CHARACTERIZED
EG10835	b2784	2911417	2913651	RELA-MONOMER	WELL-CHARACTERIZED
G7451	b2793	2924735	2925280	G7451-MONOMER	PARTIAL
EG10897	b3461	3599929	3600783	RPOH-MONOMER	WELL-CHARACTERIZED
EG12316	b0118	131615	134212	ACONITATEDEHYDRB-MONOMER	WELL-CHARACTERIZED
EG10458	b4349	4581459	4583048	EG10458-MONOMER	WELL-CHARACTERIZED
G7421	b2740	2865101	2866465	B2740-MONOMER	PARTIAL
G6592	b1148	1203822	1204160	G6592-MONOMER	PARTIAL
EG10986	b3549	3713092	3713655	EG10986-MONOMER	WELL-CHARACTERIZED
G6987	b1801	1883188	1884633	YEAV-MONOMER	PARTIAL
G7865	b4207	4428935	4429555	G7865-MONOMER	WELL-CHARACTERIZED
EG10451	b2026	2096614	2097225	HISTCYCLOPRATPPHOS	WELL-CHARACTERIZED
G6503	b0982	1044230	1044676	G6503-MONOMER	WELL-CHARACTERIZED
EG11614	b4112	4332181	4333272	PHOSPHO-BASS // BASS-MONOMER	WELL-CHARACTERIZED
EG12147	b3206	3347966	3348238	MONOMER0-4292 // EG12147-MONOMER	WELL-CHARACTERIZED
EG11019	b3290	3436518	3437894	TRKA-MONOMER	WELL-CHARACTERIZED
G7044	b1936	2012502	2012780	G7044-MONOMER	
EG11113	b0970	1030759	1031418	EG11113-MONOMER	PARTIAL
EG10728	b0399	417142	417831	PHOSPHO-PHOB // PHOB-MONOMER	WELL-CHARACTERIZED
EG11695	b3675	3855608	3855970	EG11695-MONOMER	UNCHARACTERIZED
G6698	b1375	1433991	1434224	G6698-MONOMER	UNCHARACTERIZED
EG10578	b4120	4343369	4344790	MELB-MONOMER	WELL-CHARACTERIZED
G7615	b3101	3250562	3250954	G7615-MONOMER	UNCHARACTERIZED
EG10812	b0405	425011	426081	EG10812-MONOMER	WELL-CHARACTERIZED
EG10212	b1538	1625335	1627380	EG10212-MONOMER	WELL-CHARACTERIZED
EG10271	b3006	3151250	3151984	EG10271-MONOMER	WELL-CHARACTERIZED
G6557	b1060	1120701	1120955	G6557-MONOMER	PARTIAL
EG30067	b2189	2286211	2286287	proL-tRNA	WELL-CHARACTERIZED
EG11166	b3039	3181619	3182434	EG11166-MONOMER	PARTIAL
EG10739	b3825	4009170	4010192	EG10739-MONOMER	WELL-CHARACTERIZED
G0-10458	b4541	2203972	2204289	MONOMER0-2680	UNCHARACTERIZED
EG11497	b3259	3409070	3409951	EG11497-MONOMER	WELL-CHARACTERIZED
G7651	b3157	3300752	3301276	G7651-MONOMER	PARTIAL
G6785	b1491	1567504	1568823	G6785-MONOMER	WELL-CHARACTERIZED
G6486	b0946	1005952	1006494	G6486-MONOMER	WELL-CHARACTERIZED
EG11012	b1252	1311089	1311808	EG11012-MONOMER	WELL-CHARACTERIZED
EG11735	b1019	1083376	1084647	EG11735-MONOMER	WELL-CHARACTERIZED
G7565	b3012	3156623	3157450	MONOMER0-148	WELL-CHARACTERIZED
G6976	b1790	1874755	1875576	G6976-MONOMER	WELL-CHARACTERIZED
G6817	b1543	1631002	1632285	B1543-MONOMER	PARTIAL
EG10306	b1102	1159362	1161551	EG10306-MONOMER	WELL-CHARACTERIZED
EG11896	b2014	2085704	2087062	YEEF-MONOMER	WELL-CHARACTERIZED
G7599	b3080	3228888	3231239	G7599-MONOMER	WELL-CHARACTERIZED
EG10722	b4095	4316082	4317218	EG10722-MONOMER	WELL-CHARACTERIZED
G6634	b1266	1323220	1324101	G6634-MONOMER	WELL-CHARACTERIZED
G7564	b3011	3155355	3156518	G7564-MONOMER	WELL-CHARACTERIZED
G7432	b2766	2892657	2893928	G7432-MONOMER	PARTIAL
EG11112	b0885	926728	927432	EG11112-MONOMER	WELL-CHARACTERIZED
EG10165	b2417	2535834	2536343	CRR-MONOMER	WELL-CHARACTERIZED
EG12341	b2572	2708754	2709404	EG12341-MONOMER	WELL-CHARACTERIZED
EG11651	b0210	231926	232549	EG11651-MONOMER	PARTIAL
EG11787	b2053	2127193	2128314	GDPMANDEHYDRA-MONOMER	WELL-CHARACTERIZED
EG11192	b3644	3816676	3817539	EG11192-MONOMER	WELL-CHARACTERIZED
G0-16658	b4639	2066068	2066154		
G7193	b2301	2419841	2420485	G7193-MONOMER	WELL-CHARACTERIZED
G0-8880	b4417	887979	888057	RYBB-RNA	WELL-CHARACTERIZED
G6816	b1542	1629453	1630913	G6816-MONOMER	PARTIAL
G7839	b4158	4385704	4386018	G7839-MONOMER	UNCHARACTERIZED
G7814	b3875	4063603	4064295	G7814-MONOMER	WELL-CHARACTERIZED
G6650	b1312	1374090	1374932	YCJP-MONOMER	PARTIAL
EG12411	b2040	2111077	2111976	DTDPDEHYRHAMREDUCT-MONOMER	PARTIAL
EG11554	b2669	2798091	2798495	EG11554-MONOMER	PARTIAL
EG12205	b1558	1641855	1642067	EG12205-MONOMER	PARTIAL
EG10328	b0529	556875	557741	FOLD-MONOMER	WELL-CHARACTERIZED
EG11721	b3711	3892765	3893724	EG11721-MONOMER	PARTIAL
EG10601	b1890	1976252	1977139	MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN	PARTIAL
EG12197	b0687	712987	713532	EG12197-MONOMER	WELL-CHARACTERIZED
G6390	b0747	781147	781222	RNA0-301	WELL-CHARACTERIZED
EG10416	b2614	2750115	2750708	EG10416-MONOMER	WELL-CHARACTERIZED
G6117	b0233	252301	252699	G6117-MONOMER	WELL-CHARACTERIZED
EG11355	b1922	2001070	2001789	EG11355-MONOMER	WELL-CHARACTERIZED
EG10305	b0152	170575	171465	FHUD-MONOMER	WELL-CHARACTERIZED
G0-17036	b4790	3630665	3630778	MONOMER0-4502	UNCHARACTERIZED
EG12343	b4391	4628855	4630522	YJJK-MONOMER	WELL-CHARACTERIZED
EG11507	b3179	3327035	3327664	EG11507-MONOMER	WELL-CHARACTERIZED
EG11366	b4396	4634441	4635310	PD04418	PARTIAL
EG11315	b3253	3403484	3404458	EG11315-MONOMER	PARTIAL
G6948	b1753	1835515	1836063	G6948-MONOMER	UNCHARACTERIZED
G7480	b2860	2996372	2997277	MONOMER0-4448	UNCHARACTERIZED
EG10650	b2518	2644433	2644864	NUCLEOSIDE-DIP-KIN-MONOMER	WELL-CHARACTERIZED
EG10139	b0175	195677	196534	CDPDIGLYSYN-MONOMER	WELL-CHARACTERIZED
G6164	b0293	310084	310671	G6164-MONOMER	WELL-CHARACTERIZED
EG11504	b0197	220113	220928	METQ-MONOMER	WELL-CHARACTERIZED
EG30097	b1032	1097565	1097652	serX-tRNA	WELL-CHARACTERIZED
EG10712	b4107	4325298	4325741	EG10712-MONOMER	UNCHARACTERIZED
G7112	b2073	2152469	2153128	G7112-MONOMER	UNCHARACTERIZED
EG12139	b2555	2688793	2689506	EG12139-MONOMER	UNCHARACTERIZED
EG30038	b4163	4392360	4392435	glyV-tRNA	WELL-CHARACTERIZED
EG10204	b3387	3515077	3515913	EG10204-MONOMER	WELL-CHARACTERIZED
EG11126	b1258	1315270	1315770	EG11126-MONOMER	UNCHARACTERIZED
EG10455	b0178	200482	200967	EG10455-MONOMER	WELL-CHARACTERIZED
G6183	b0318	335280	335885	G6183-MONOMER	PARTIAL
G0-17125	b4844	2911051	2911450	RNA0-440	PARTIAL
EG10106	b3739	3922060	3922440	EG10106-MONOMER	PARTIAL
EG12096	b4225	4448692	4449042	EG12096-MONOMER	WELL-CHARACTERIZED
EG10896	b3067	3213047	3214888	RPOD-MONOMER	WELL-CHARACTERIZED
EG11575	b0071	78848	79453	LEUD-MONOMER	WELL-CHARACTERIZED
G7268	b2433	2551277	2551726	G7268-MONOMER	UNCHARACTERIZED
G6403	b0786	819884	820588	G6403-MONOMER	UNCHARACTERIZED
G6608	b1168	1217328	1218851	G6608-MONOMER	PARTIAL
EG10170	b3806	3991153	3993699	ADENYLATECYC-MONOMER	WELL-CHARACTERIZED
EG10646	b1222	1275822	1277618	NARX-MONOMER	WELL-CHARACTERIZED
EG10748	b3396	3522871	3525423	EG10748-MONOMER	WELL-CHARACTERIZED
EG12015	b2134	2223938	2224870	EG12015-MONOMER	WELL-CHARACTERIZED
G8203	b0701	733370	733591		
G0-10641	b4669	3950507	3950557	MONOMER0-2868	UNCHARACTERIZED
EG11509	b0012	10830	11315	EG11509-MONOMER	UNCHARACTERIZED
G7214	b2343	2460650	2460934	G7214-MONOMER	UNCHARACTERIZED
EG10086	b2715	2839524	2840981	ASCF-MONOMER	PARTIAL
G7246	b2383	2501990	2504485	G7246-MONOMER	PARTIAL
G6351	b0644	675570	676547	G6351-MONOMER	PARTIAL
EG12448	b0567	587091	587981	EG12448-MONOMER	PARTIAL
EG10351	b2799	2931865	2933013	LACTALDREDUCT-MONOMER	WELL-CHARACTERIZED
EG11143	b2232	2339567	2340289	DHHB-METHYLTRANSFER-MONOMER	WELL-CHARACTERIZED
EG10023	b4014	4215478	4217079	MALATE-SYNTHASE	WELL-CHARACTERIZED
EG10290	b4287	4510690	4511457	FECE-MONOMER	WELL-CHARACTERIZED
G6972	b1786	1872041	1873531	G6972-MONOMER	WELL-CHARACTERIZED
G7130	b2098	2178821	2180098	B2098-MONOMER	PARTIAL
EG12374	b3362	3491453	3491620	EG12374-MONOMER	PARTIAL
EG10621	b0085	93166	94653	UDP-NACMURALGLDAPLIG-MONOMER	WELL-CHARACTERIZED
G7215	b2345	2463012	2464070	G7215-MONOMER	UNCHARACTERIZED
EG11110	b0736	774752	775156	EG11110-MONOMER	PARTIAL
EG10470	b0974	1035066	1035773	HYAC-MONOMER	WELL-CHARACTERIZED
EG10363	b0757	788831	789979	GALACTOKIN-MONOMER	WELL-CHARACTERIZED
G6539	b1033	1097886	1098824	G6539-MONOMER	WELL-CHARACTERIZED
G6378	b0709	741075	742556	B0709-MONOMER	WELL-CHARACTERIZED
EG10203	b0839	880727	881929	EG10203-MONOMER	WELL-CHARACTERIZED
EG12310	b2523	2655075	2656358	EG12310-MONOMER	WELL-CHARACTERIZED
EG11541	b3747	3931316	3933184	KUP-MONOMER	WELL-CHARACTERIZED
M011	b0348	370277	371221	DHPDIOXYGEN-MONOMER	WELL-CHARACTERIZED
EG10946	b0907	957653	958741	PSERTRANSAM-MONOMER	WELL-CHARACTERIZED
G0-10543		2068952	2070180	MONOMER0-4256	PARTIAL
EG10301	b2731	2854338	2856416	PD02936	WELL-CHARACTERIZED
EG10515	b0696	724407	724979	EG10515-MONOMER	WELL-CHARACTERIZED
EG10233	b0895	943414	944031	DMSB-MONOMER	WELL-CHARACTERIZED
G0-10585	b4589	580251	580445	MONOMER0-2814	UNCHARACTERIZED
EG30082	b2589	2726281	2729184	RRLG-RRNA	WELL-CHARACTERIZED
G6693	b1370	1427746	1428726	G6693-MONOMER	PARTIAL
G0-8899	b4426	1405658	1405751	IS061-RNA	WELL-CHARACTERIZED
EG10347	b0095	105305	106456	EG10347-MONOMER	WELL-CHARACTERIZED
EG12458	b4088	4311107	4312042	YJCX-MONOMER	WELL-CHARACTERIZED
G0-10630	b4664	3194766	3194825	MONOMER0-2856	PARTIAL
EG12630	b3438	3577731	3578726	PD03585	PARTIAL
G6842	b1584	1656184	1656744	SPERMACTRAN-MONOMER	WELL-CHARACTERIZED
G7222	b2353	2470803	2471105		
EG11985	b2032	2103391	2104509	EG11985-MONOMER	PARTIAL
EG11604	b4473	3432436	3433560	EG11604-MONOMER	UNCHARACTERIZED
EG11892	b2009	2080789	2081262	EG11892-MONOMER	WELL-CHARACTERIZED
G6701	b1378	1437260	1440784	G6701-MONOMER	WELL-CHARACTERIZED
M004	b3386	3514382	3515059	RIBULP3EPIM-MONOMER	WELL-CHARACTERIZED
G6786	b1492	1568954	1570489	XASA-MONOMER	WELL-CHARACTERIZED
EG10534	b2411	2528161	2530176	EG10534-MONOMER	WELL-CHARACTERIZED
G6478	b0936	995985	996944	G6478-MONOMER	WELL-CHARACTERIZED
G7750	b4475	3555833	3556849	G7750-MONOMER	PARTIAL
G6636	b1268	1324746	1326641	G6636-MONOMER	UNCHARACTERIZED
EG10047	b0050	51229	51606	EG10047-MONOMER	UNCHARACTERIZED
EG10980	b0727	761522	762739	SUCB-DIHYDROLIPOATE // SUCB-S-SUCCINYLDIHYDROLIPOATE // SUCB-LIPOATE // E2O-MONOMER	WELL-CHARACTERIZED
G378	b1942	2017946	2018389	G378-MONOMER	WELL-CHARACTERIZED
EG11457	b3793	3978601	3979953	FUC4NACTRANS-MONOMER	WELL-CHARACTERIZED
G0-10695	b4701	2887353	2887411	RNA0-357	UNCHARACTERIZED
EG11862	b3898	4089855	4090925	EG11862-MONOMER	UNCHARACTERIZED
G7308	b2491	2611900	2613912	G7308-MONOMER	WELL-CHARACTERIZED
G7198	b2322	2438942	2440120	B2322-MONOMER	PARTIAL
EG10286	b4291	4514353	4516677	EG10286-MONOMER	WELL-CHARACTERIZED
G7884	b4253	4475437	4477251	G7884-MONOMER	UNCHARACTERIZED
EG10254	b3075	3221466	3222449	PD03254	PARTIAL
G7605	b3086	3236540	3237232	G7605-MONOMER	UNCHARACTERIZED
EG10793	b0523	552591	553100	PURE-MONOMER	WELL-CHARACTERIZED
G360	b1075	1131854	1132549	G360-MONOMER	WELL-CHARACTERIZED
G6561	b1069	1127839	1129374	G6561-MONOMER	WELL-CHARACTERIZED
EG12247	b3521	3672414	3673313	EG12247-MONOMER	PARTIAL
EG11674	b3059	3204694	3205311	EG11674-MONOMER	PARTIAL
EG12091	b2279	2395043	2395345	NUOK-MONOMER	WELL-CHARACTERIZED
EG30032	b3969	4168372	4168447	gltT-tRNA	WELL-CHARACTERIZED
G7288	b2458	2572489	2573505	G7288-MONOMER	WELL-CHARACTERIZED
EG10731	b1130	1189776	1190447	PHOSPHO-PHOP // PHOP-MONOMER	WELL-CHARACTERIZED
EG12634	b2761	2884553	2887219	EG12634-MONOMER	WELL-CHARACTERIZED
G0-8883	b4433	1923104	1923207	RYEB-RNA	WELL-CHARACTERIZED
EG10557	b1620	1698152	1699180	PD00361	WELL-CHARACTERIZED
G7481	b2861	2997235	2997600	MONOMER0-4252	PARTIAL
G6160	b0289	304495	305205	G6160-MONOMER	PARTIAL
G7898	b4575	4499593	4500791	G7898-MONOMER	
EG11111	b0880	922366	922590	EG11111-MONOMER	WELL-CHARACTERIZED
G7118	b2081	2165668	2167029	G7118-MONOMER	PARTIAL
EG10097	b1866	1948750	1950522	ASPS-MONOMER	WELL-CHARACTERIZED
EG11425	b3625	3800267	3800965	EG11425-MONOMER	WELL-CHARACTERIZED
G6275	b0505	532451	532933	G6275-MONOMER	PARTIAL
G6427	b0824	862612	863511	G6427-MONOMER	PARTIAL
EG10459	b4350	4583249	4586761	EG10459-MONOMER	WELL-CHARACTERIZED
EG13139	b1386	1449076	1451349	AMINEOXID-MONOMER	WELL-CHARACTERIZED
G379	b1943	2018386	2019513	G379-MONOMER	PARTIAL
EG50005	b0578	604771	605424	DIHYDROPTERIREDUCT-MONOMER	WELL-CHARACTERIZED
EG50010	b0356	378462	379571	ADHC-MONOMER	WELL-CHARACTERIZED
EG10637	b3225	3372683	3373576	ACNEULY-MONOMER	WELL-CHARACTERIZED
G0-16700	b4758	4263139	4263249	RNA0-400	WELL-CHARACTERIZED
EG12293	b3589	3756676	3757827	EG12293-MONOMER	WELL-CHARACTERIZED
G6802	b1515	1604047	1605039	YDEZ-MONOMER	WELL-CHARACTERIZED
EG10362	b0759	791039	792055	UDPGLUCEPIM-MONOMER	WELL-CHARACTERIZED
G6317	b0563	582875	583060	G6317-MONOMER	UNCHARACTERIZED
EG10892	b3703	3884336	3884476	EG10892-MONOMER	WELL-CHARACTERIZED
EG11444	b2917	3060850	3062994	METHYLMALONYL-COA-MUT-MONOMER	WELL-CHARACTERIZED
EG10456	b2552	2685835	2687025	EG10456-MONOMER	WELL-CHARACTERIZED
EG12191	b0450	472598	472936	URIDYLYL-PII2 // PROTEIN-PII2	PARTIAL
EG11257	b0385	403703	404818	EG11257-MONOMER	WELL-CHARACTERIZED
EG11219	b1419	1491677	1491850	EG11219-MONOMER	UNCHARACTERIZED
G7514	b2902	3045158	3045901	G7514-MONOMER	PARTIAL
EG11325	b1276	1335831	1338506	ACONITASE-MONOMER	WELL-CHARACTERIZED
G7828	b4126	4351843	4352073	G7828-MONOMER	UNCHARACTERIZED
G7747	b3413	3544882	3545565	G7747-MONOMER	PARTIAL
EG11878	b3928	4118515	4118760	EG11878-MONOMER	WELL-CHARACTERIZED
EG10706	b1912	1992269	1992817	PHOSPHAGLYPSYN-MONOMER	WELL-CHARACTERIZED
EG11383	b3209	3349806	3350459	EG11383-MONOMER	WELL-CHARACTERIZED
EG10647	b1467	1537309	1538853	NARY-MONOMER	WELL-CHARACTERIZED
EG11306	b0628	659251	660216	EG11306-MONOMER	WELL-CHARACTERIZED
EG10808	b3642	3815127	3815768	OROPRIBTRANS-MONOMER	WELL-CHARACTERIZED
EG11542	b0494	519139	519765	THIOESTERI-MONOMER	WELL-CHARACTERIZED
EG11083	b0059	60358	63264	EG11083-MONOMER	WELL-CHARACTERIZED
EG12625	b3543	3704771	3705790	DPPB-MONOMER	WELL-CHARACTERIZED
G7132	b2100	2181096	2182061	G7132-MONOMER	PARTIAL
EG11988	b2109	2188430	2190910	EG11988-MONOMER	PARTIAL
EG10426	b0962	1024471	1026525	EG10426-MONOMER	PARTIAL
EG10817	b3748	3933351	3933770	EG10817-MONOMER	WELL-CHARACTERIZED
EG11900	b1348	1413733	1413927	EG11900-MONOMER	PARTIAL
G7637	b3142	3287426	3288010	G7637-MONOMER	PARTIAL
EG11227	b1474	1547401	1550448	FDNG-MONOMER	WELL-CHARACTERIZED
G6468	b0905	954872	956632	G6468-MONOMER	WELL-CHARACTERIZED
EG11003	b0436	455133	456431	EG11003-MONOMER	WELL-CHARACTERIZED
EG12284	b3580	3747084	3748580	LYXK-MONOMER	WELL-CHARACTERIZED
G6574	b1117	1176619	1177320	YCFV-MONOMER	WELL-CHARACTERIZED
G6696	b1373	1432411	1432986	G6696-MONOMER	PARTIAL
G6760	b1449	1519027	1520064	G6760-MONOMER	WELL-CHARACTERIZED
G6544	b1038	1101711	1102127	G6544-MONOMER	WELL-CHARACTERIZED
EG10899	b3649	3822106	3822381	EG10899-MONOMER	WELL-CHARACTERIZED
