Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization
yfcR	b2335	2451072	2451584	putative fimbrial protein YfcR	PARTIAL
ydiB	b1692	1773789	1774655	quinate/shikimate dehydrogenase	PARTIAL
asflhD	b4839	1978176	1978395	small antisense RNA AsflhD	PARTIAL
adeD	b3665	3843964	3845730	adenine deaminase	WELL-CHARACTERIZED
aceE	b0114	123017	125680	pyruvate dehydrogenase E1 component	WELL-CHARACTERIZED
lysC	b4024	4231884	4233233	aspartate kinase III	WELL-CHARACTERIZED
rpmI	b1717	1799802	1799999	50S ribosomal subunit protein L35	WELL-CHARACTERIZED
cvpA	b2313	2430275	2430763	colicin V production protein	PARTIAL
sgcR	b4300	4526106	4526888	KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR	PARTIAL
yidD	b4557	3884816	3885073	membrane protein insertion efficiency factor	WELL-CHARACTERIZED
yfgI	b2506	2630326	2630865	nalidixic acid resistance protein YfgI	PARTIAL
rbsK	b3752	3937294	3938223	ribokinase	WELL-CHARACTERIZED
yafL	b0227	246712	247461	NlpC/P60 family protein YafL	UNCHARACTERIZED
ymfR	b1150	1205549	1205731	e14 prophage; IPR020297 domain-containing protein YmfR	UNCHARACTERIZED
sbmA	b0377	396639	397859	peptide antibiotic/peptide nucleic acid transporter	WELL-CHARACTERIZED
waaH	b3615	3789047	3790081	UDP-glucuronate:LPS(HepIII) glycosyltransferase	WELL-CHARACTERIZED
folP	b3177	3324063	3324911	dihydropteroate synthase	WELL-CHARACTERIZED
rzoD	b4510	578327	578509	DLP12 prophage; putative prophage lysis lipoprotein RzoD	PARTIAL
metT	b0673	697057	697133	tRNA-Met(CAU)	WELL-CHARACTERIZED
mnmC	b2324	2441764	2443770	fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase	WELL-CHARACTERIZED
macB	b0879	920347	922293	ABC-type tripartite efflux pump ATP binding/membrane subunit	WELL-CHARACTERIZED
glcG	b2977	3123827	3124231	putative heme-binding protein GlcG	PARTIAL
ychA	b1214	1267320	1268129	transglutaminase-like/TPR repeat-containing protein	UNCHARACTERIZED
b1354	b1354	1419168	1419344		
ydaV	b1360	1421983	1422729	Rac prophage; putative ATP-binding protein YdaV	PARTIAL
livK	b3458	3596451	3597560	L-leucine/L-phenylalanine ABC transporter periplasmic binding protein	WELL-CHARACTERIZED
rspB	b1580	1652896	1653915	putative zinc-binding dehydrogenase RspB	PARTIAL
cbtA	b2005	2077569	2077943	CP4-44 prophage; cytoskeleton-binding toxin CbtA	WELL-CHARACTERIZED
yfeN	b2408	2525127	2525891	putative outer membrane porin YfeN	PARTIAL
yjbE	b4026	4235906	4236148	uncharacterized protein YjbE	UNCHARACTERIZED
nrdF	b2676	2803502	2804461	ribonucleoside-diphosphate reductase 2 subunit &beta;	WELL-CHARACTERIZED
argS	b1876	1960062	1961795	arginine&mdash;tRNA ligase	WELL-CHARACTERIZED
yqhG	b3013	3157650	3158576	DUF3828 domain-containing protein YqhG	UNCHARACTERIZED
wrbA	b1004	1067112	1067708	NAD(P)H:quinone oxidoreductase	WELL-CHARACTERIZED
ymfE	b1138	1197533	1198237	e14 prophage; uncharacterized protein YmfE	UNCHARACTERIZED
yggT	b2952	3095820	3096386	uncharacterized protein YggT	UNCHARACTERIZED
micF	b4439	2313084	2313176	small regulatory RNA MicF	WELL-CHARACTERIZED
mltF	b2558	2695801	2697357	membrane-bound lytic murein transglycosylase F	WELL-CHARACTERIZED
bidA	b1593	1666524	1667219	dethiobiotin synthetase BidA	WELL-CHARACTERIZED
cof	b0446	467412	468230	HMP-PP phosphatase	WELL-CHARACTERIZED
kdsB	b0918	970852	971598	3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase	WELL-CHARACTERIZED
hisP	b2306	2423736	2424509	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit	WELL-CHARACTERIZED
plsC	b3018	3162744	3163481	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC	WELL-CHARACTERIZED
nanK	b3222	3369475	3370350	<i>N</i>-acetylmannosamine kinase	WELL-CHARACTERIZED
fucR	b2805	2939368	2940099	DNA-binding transcriptional activator FucR	WELL-CHARACTERIZED
ulaG	b4192	4418561	4419625	L-ascorbate-6-phosphate lactonase	WELL-CHARACTERIZED
marA	b1531	1619574	1619957	DNA-binding transcriptional dual regulator MarA	WELL-CHARACTERIZED
pstS	b3728	3910485	3911525	phosphate ABC transporter periplasmic binding protein	WELL-CHARACTERIZED
ptsN	b3204	3346578	3347069	PtsN-<i>N</i>-phospho-L-histidine // phosphotransferase system enzyme IIA(Ntr)	WELL-CHARACTERIZED
tusA	b3470	3608751	3608996	sulfurtransferase TusA	WELL-CHARACTERIZED
hycG	b2719	2843443	2844210	hydrogenase 3 [Fe-S] protein HycG	WELL-CHARACTERIZED
holB	b1099	1155762	1156766	DNA polymerase III subunit &delta;'	WELL-CHARACTERIZED
yaiX	b4579			putative acyltransferase, N-terminal fragment	
yihQ	b3878	4067240	4069276	sulfoquinovosidase	WELL-CHARACTERIZED
pheV	b2967	3110366	3110441	tRNA-Phe(GAA)	WELL-CHARACTERIZED
nadK	b2615	2750831	2751709	NAD kinase	WELL-CHARACTERIZED
yraR	b3152	3298211	3298846	putative nucleoside-diphosphate-sugar epimerase	PARTIAL
yfjJ	b2626	2760547	2761173	CP4-57 prophage; protein YfjJ	UNCHARACTERIZED
hypA	b2726	2850647	2850997	hydrogenase 3 Ni(2+) incorporation protein HypA	WELL-CHARACTERIZED
hisH	b2023	2094535	2095125	imidazole glycerol phosphate synthase subunit HisH	WELL-CHARACTERIZED
pncA	b1768	1851887	1852528	nicotinamidase	WELL-CHARACTERIZED
metV	b2816	2947607	2947683	tRNA-initiator Met(CAU)	WELL-CHARACTERIZED
narL	b1221	1275179	1275829	DNA-binding transcriptional dual regulator NarL-phosphorylated // DNA-binding transcriptional dual regulator NarL	WELL-CHARACTERIZED
yniB	b1726	1808697	1809233	uncharacterized protein YniB	UNCHARACTERIZED
ygdT	b4610	2969330	2969476	hypothetical protein YgdT	UNCHARACTERIZED
nrdI	b2674	2800965	2801375	dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI	PARTIAL
ydiF	b1694	1775587	1777182	acetate-CoA transferase YdiF	PARTIAL
potG	b0855	894991	896124	putrescine ABC transporter ATP binding subunit	WELL-CHARACTERIZED
rnlA	b2630	2765918	2766991	CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system	WELL-CHARACTERIZED
corA	b3816	4001426	4002376	Ni(2+)/Co(2+)/Mg(2+) transporter	WELL-CHARACTERIZED
yjbL	b4047	4260321	4260575	uncharacterized protein YjbL	UNCHARACTERIZED
chbC	b1737	1819856	1821214	<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIC component	WELL-CHARACTERIZED
nrdG	b4237	4459900	4460364	anaerobic ribonucleoside-triphosphate reductase activating protein	WELL-CHARACTERIZED
yobA	b1841	1924595	1924969	copper-binding protein	WELL-CHARACTERIZED
relA	b2784	2911417	2913651	GDP/GTP pyrophosphokinase	WELL-CHARACTERIZED
syd	b2793	2924735	2925280	SecY-interacting protein	PARTIAL
rpoH	b3461	3599929	3600783	RNA polymerase sigma factor RpoH	WELL-CHARACTERIZED
acnB	b0118	131615	134212	AcnB	WELL-CHARACTERIZED
hsdM	b4349	4581459	4583048	type I restriction enzyme EcoKI methylase subunit	WELL-CHARACTERIZED
ygbN	b2740	2865101	2866465	putative transporter YgbN	PARTIAL
ymfM	b1148	1203822	1204160	e14 prophage; cell division inhibitor YmfM	PARTIAL
tag	b3549	3713092	3713655	3-methyl-adenine DNA glycosylase I, constitutive	WELL-CHARACTERIZED
yeaV	b1801	1883188	1884633	putative transporter YeaV	PARTIAL
fklB	b4207	4428935	4429555	peptidyl-prolyl <i>cis-trans</i> isomerase FklB	WELL-CHARACTERIZED
hisI	b2026	2096614	2097225	putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	WELL-CHARACTERIZED
etp	b0982	1044230	1044676	phosphotyrosine-protein phosphatase Etp	WELL-CHARACTERIZED
basS	b4112	4332181	4333272	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS	WELL-CHARACTERIZED
npr	b3206	3347966	3348238	Npr-<i>N</i>-phospho-L-histidine // phosphorelay protein NPr	WELL-CHARACTERIZED
trkA	b3290	3436518	3437894	NAD-binding component of Trk potassium transporters	WELL-CHARACTERIZED
intG	b1936	2012502	2012780	putative defective phage integrase	
yccA	b0970	1030759	1031418	modulator of FtsH protease	PARTIAL
phoB	b0399	417142	417831	DNA-binding transcriptional dual regulator PhoB-phosphorylated // DNA-binding transcriptional dual regulator PhoB	WELL-CHARACTERIZED
yidG	b3675	3855608	3855970	inner membrane protein YidG	UNCHARACTERIZED
ynaE	b1375	1433991	1434224	Rac prophage; uncharacterized protein YnaE	UNCHARACTERIZED
melB	b4120	4343369	4344790	melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter	WELL-CHARACTERIZED
yqjF	b3101	3250562	3250954	DoxX family protein	UNCHARACTERIZED
queA	b0405	425011	426081	tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase	WELL-CHARACTERIZED
dcp	b1538	1625335	1627380	peptidyl-dipeptidase Dcp	WELL-CHARACTERIZED
exbB	b3006	3151250	3151984	Ton complex subunit ExbB	WELL-CHARACTERIZED
bssS	b1060	1120701	1120955	regulator of biofilm formation	PARTIAL
proL	b2189	2286211	2286287	tRNA-Pro(GGG)	WELL-CHARACTERIZED
ygiD	b3039	3181619	3182434	4,5-DOPA dioxygenase extradiol	PARTIAL
pldB	b3825	4009170	4010192	lysophospholipase L2	WELL-CHARACTERIZED
yehK	b4541	2203972	2204289	uncharacterized protein YehK	UNCHARACTERIZED
prmA	b3259	3409070	3409951	ribosomal protein L11 methyltransferase	WELL-CHARACTERIZED
ubiT	b3157	3300752	3301276	anaerobic ubiquinone biosynthesis accessory factor UbiT	PARTIAL
digH	b1491	1567504	1568823	divisome localized glycosyl hydrolase	WELL-CHARACTERIZED
zapC	b0946	1005952	1006494	cell division protein ZapC	WELL-CHARACTERIZED
tonB	b1252	1311089	1311808	Ton complex subunit TonB	WELL-CHARACTERIZED
efeB	b1019	1083376	1084647	heme-containing peroxidase/deferrochelatase	WELL-CHARACTERIZED
dkgA	b3012	3156623	3157450	methylglyoxal reductase DkgA	WELL-CHARACTERIZED
nimR	b1790	1874755	1875576	DNA-binding transcriptional repressor NimR	WELL-CHARACTERIZED
ydfJ	b1543	1631002	1632285	putative transporter YdfJ	PARTIAL
fhuE	b1102	1159362	1161551	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	WELL-CHARACTERIZED
plaP	b2014	2085704	2087062	putrescine:H+ symporter PlaP	WELL-CHARACTERIZED
ygjK	b3080	3228888	3231239	glycoside hydrolase	WELL-CHARACTERIZED
phnM	b4095	4316082	4317218	RPnTP hydrolase	WELL-CHARACTERIZED
rnm	b1266	1323220	1324101	RNase AM	WELL-CHARACTERIZED
yqhD	b3011	3155355	3156518	NADPH-dependent aldehyde reductase YqhD	WELL-CHARACTERIZED
ygcN	b2766	2892657	2893928	putative oxidoreductase with FAD/NAD(P)-binding domain	PARTIAL
aat	b0885	926728	927432	leucyl/phenylalanyl-tRNA&mdash;protein transferase	WELL-CHARACTERIZED
crr	b2417	2535834	2536343	Enzyme IIA<sup>Glc</sup>	WELL-CHARACTERIZED
rseA	b2572	2708754	2709404	anti-sigma-E factor RseA	WELL-CHARACTERIZED
yafE	b0210	231926	232549	putative S-adenosylmethionine-dependent methyltransferase	PARTIAL
gmd	b2053	2127193	2128314	GDP-mannose 4,6-dehydratase	WELL-CHARACTERIZED
yicC	b3644	3816676	3817539	putative RNase adaptor protein YicC	WELL-CHARACTERIZED
yeeH	b4639	2066068	2066154		
yfcF	b2301	2419841	2420485	glutathione <i>S</i>-transferase YfcF	WELL-CHARACTERIZED
rybB	b4417	887979	888057	small regulatory RNA RybB	WELL-CHARACTERIZED
ydfI	b1542	1629453	1630913	putative oxidoreductase YdfI	PARTIAL
yjeO	b4158	4385704	4386018	DUF2645 domain-containing inner membrane protein YjeO	UNCHARACTERIZED
ompL	b3875	4063603	4064295	putative outer membrane porin L	WELL-CHARACTERIZED
ycjP	b1312	1374090	1374932	putative ABC transporter membrane subunit YcjP	PARTIAL
rfbD	b2040	2111077	2111976	dTDP-4-dehydrorhamnose reductase	PARTIAL
stpA	b2669	2798091	2798495	DNA-binding transcriptional repressor StpA with RNA chaperone activity	PARTIAL
cspF	b1558	1641855	1642067	Qin prophage; cold shock-like protein CspF	PARTIAL
folD	b0529	556875	557741	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	WELL-CHARACTERIZED
yidZ	b3711	3892765	3893724	DNA-binding transcriptional dual regulator YidZ	PARTIAL
motA	b1890	1976252	1977139	motility protein A	PARTIAL
seqA	b0687	712987	713532	negative modulator of initiation of replication	WELL-CHARACTERIZED
lysY	b0747	781147	781222	tRNA-Lys(UUU)	WELL-CHARACTERIZED
grpE	b2614	2750115	2750708	nucleotide exchange factor GrpE	WELL-CHARACTERIZED
yafO	b0233	252301	252699	ribosome-dependent mRNA interferase toxin YafO	WELL-CHARACTERIZED
fliA	b1922	2001070	2001789	RNA polymerase sigma factor FliA	WELL-CHARACTERIZED
fhuD	b0152	170575	171465	Fe(3+) hydroxamate ABC transporter periplasmic binding protein	WELL-CHARACTERIZED
yhiY	b4790	3630665	3630778	protein YhiY	UNCHARACTERIZED
ettA	b4391	4628855	4630522	energy-dependent translational throttle protein EttA	WELL-CHARACTERIZED
rlmE	b3179	3327035	3327664	23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase	WELL-CHARACTERIZED
rob	b4396	4634441	4635310	DNA-binding transcriptional dual regulator Rob	PARTIAL
yhdH	b3253	3403484	3404458	acrylyl-CoA reductase	PARTIAL
ynjA	b1753	1835515	1836063	AhpD-like domain-containing protein YnjA	UNCHARACTERIZED
insD4	b2860	2996372	2997277	IS2 insertion element protein InsB	UNCHARACTERIZED
ndk	b2518	2644433	2644864	nucleoside diphosphate kinase	WELL-CHARACTERIZED
cdsA	b0175	195677	196534	CDP-diglyceride synthetase	WELL-CHARACTERIZED
ecpA	b0293	310084	310671	common pilus major subunit	WELL-CHARACTERIZED
metQ	b0197	220113	220928	L-methionine/D-methionine ABC transporter membrane anchored binding protein	WELL-CHARACTERIZED
serX	b1032	1097565	1097652	tRNA-Ser(GGA)	WELL-CHARACTERIZED
yjdN	b4107	4325298	4325741	PF06983 family protein YjdN	UNCHARACTERIZED
yegL	b2073	2152469	2153128	IPR002035 domain-containing protein YegL	UNCHARACTERIZED
qseG	b2555	2688793	2689506	outer membrane lipoprotein QseG	UNCHARACTERIZED
glyV	b4163	4392360	4392435	tRNA-Gly(GCC)	WELL-CHARACTERIZED
dam	b3387	3515077	3515913	DNA adenine methyltransferase	WELL-CHARACTERIZED
yciF	b1258	1315270	1315770	DUF892 domain-containing protein YciF	UNCHARACTERIZED
skp	b0178	200482	200967	periplasmic chaperone Skp	WELL-CHARACTERIZED
yahD	b0318	335280	335885	ankyrin repeat-containing protein YahD	PARTIAL
ameF	b4844	2911051	2911450	small antisense RNA aMEF	PARTIAL
atpI	b3739	3922060	3922440	ATP synthase accessory factor AtpI	PARTIAL
chpB	b4225	4448692	4449042	endoribonuclease toxin ChpB	WELL-CHARACTERIZED
rpoD	b3067	3213047	3214888	RNA polymerase sigma factor RpoD	WELL-CHARACTERIZED
leuD	b0071	78848	79453	3-isopropylmalate dehydratase subunit LeuD	WELL-CHARACTERIZED
yfeZ	b2433	2551277	2551726	putative inner membrane protein	UNCHARACTERIZED
ybhL	b0786	819884	820588	Bax1-I family protein YbhL	UNCHARACTERIZED
pdeG	b1168	1217328	1218851	putative cyclic di-GMP phosphodiesterase PdeG	PARTIAL
cyaA	b3806	3991153	3993699	adenylate cyclase	WELL-CHARACTERIZED
narX	b1222	1275822	1277618	sensor histidine kinase NarX	WELL-CHARACTERIZED
mrcA	b3396	3522871	3525423	peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA	WELL-CHARACTERIZED
pbpG	b2134	2223938	2224870	peptidoglycan DD-endopeptidase PbpG	WELL-CHARACTERIZED
b0701	b0701	733370	733591		
ilvX	b4669	3950507	3950557	uncharacterized protein IlvX	UNCHARACTERIZED
mbiA	b0012	10830	11315	uncharacterized protein MbiA	UNCHARACTERIZED
yfcZ	b2343	2460650	2460934	DUF406 domain-containing protein YfcZ	UNCHARACTERIZED
ascF	b2715	2839524	2840981	&beta;-glucoside specific PTS enzyme IIBC component	PARTIAL
fryA	b2383	2501990	2504485	putative PTS multiphosphoryl transfer protein FryA	PARTIAL
ybeQ	b0644	675570	676547	Sel1 repeat-containing protein YbeQ	PARTIAL
ybcH	b0567	587091	587981	putative exopolysaccharide secretion system auxiliary component	PARTIAL
fucO	b2799	2931865	2933013	L-1,2-propanediol oxidoreductase	WELL-CHARACTERIZED
ubiG	b2232	2339567	2340289	bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase	WELL-CHARACTERIZED
aceB	b4014	4215478	4217079	malate synthase A	WELL-CHARACTERIZED
fecE	b4287	4510690	4511457	ferric citrate ABC transporter ATP binding subunit	WELL-CHARACTERIZED
dgcJ	b1786	1872041	1873531	diguanylate cyclase DgcJ	WELL-CHARACTERIZED
yegT	b2098	2178821	2180098	putative transporter YegT	PARTIAL
yhfG	b3362	3491453	3491620	DUF2559 domain-containing protein YhfG	PARTIAL
murE	b0085	93166	94653	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	WELL-CHARACTERIZED
yfdF	b2345	2463012	2464070	protein YfdF	UNCHARACTERIZED
ybgC	b0736	774752	775156	esterase/thioesterase	PARTIAL
hyaC	b0974	1035066	1035773	hydrogenase 1 cytochrome <i>b</i> subunit	WELL-CHARACTERIZED
galK	b0757	788831	789979	galactokinase	WELL-CHARACTERIZED
ghrA	b1033	1097886	1098824	glyoxylate/hydroxypyruvate reductase A	WELL-CHARACTERIZED
dtpD	b0709	741075	742556	dipeptide:H<sup>+</sup> symporter DtpD	WELL-CHARACTERIZED
dacC	b0839	880727	881929	D-alanyl-D-alanine carboxypeptidase DacC	WELL-CHARACTERIZED
pepB	b2523	2655075	2656358	aminopeptidase B	WELL-CHARACTERIZED
kup	b3747	3931316	3933184	K<sup>+</sup>:H<sup>+</sup> symporter Kup	WELL-CHARACTERIZED
mhpB	b0348	370277	371221	3-carboxyethylcatechol 2,3-dioxygenase	WELL-CHARACTERIZED
serC	b0907	957653	958741	phosphoserine/phosphohydroxythreonine aminotransferase	WELL-CHARACTERIZED
insCD3		2068952	2070180	IS2 element transposase InsAB'	PARTIAL
fhlA	b2731	2854338	2856416	DNA-binding transcriptional activator FhlA	WELL-CHARACTERIZED
kdpC	b0696	724407	724979	K<sup>+</sup> transporting P-type ATPase subunit KdpC	WELL-CHARACTERIZED
dmsB	b0895	943414	944031	dimethyl sulfoxide reductase subunit B	WELL-CHARACTERIZED
ylcI	b4589	580251	580445	DLP12 prophage; DUF3950 domain-containing protein YlcI	UNCHARACTERIZED
rrlG	b2589	2726281	2729184	23S ribosomal RNA	WELL-CHARACTERIZED
insH5	b1370	1427746	1428726	Rac prophage; IS<i>5</i> transposase and trans-activator	PARTIAL
mcaS	b4426	1405658	1405751	small regulatory RNA McaS	WELL-CHARACTERIZED
ftsZ	b0095	105305	106456	cell division protein FtsZ	WELL-CHARACTERIZED
alsB	b4088	4311107	4312042	D-allose ABC transporter periplasmic binding protein	WELL-CHARACTERIZED
ibsD	b4664	3194766	3194825	putative toxic peptide IbsD	PARTIAL
gntR	b3438	3577731	3578726	DNA-binding transcriptional repressor GntR	PARTIAL
speG	b1584	1656184	1656744	spermidine <i>N</i>-acetyltransferase	WELL-CHARACTERIZED
tfaS	b2353	2470803	2471105		
wbbK	b2032	2103391	2104509	putative glycosyltransferase WbbK	PARTIAL
smf	b4473	3432436	3433560	protein Smf	UNCHARACTERIZED
sbmC	b2009	2080789	2081262	DNA gyrase inhibitor	WELL-CHARACTERIZED
ydbK	b1378	1437260	1440784	putative pyruvate-flavodoxin oxidoreductase	WELL-CHARACTERIZED
rpe	b3386	3514382	3515059	ribulose-phosphate 3-epimerase	WELL-CHARACTERIZED
gadC	b1492	1568954	1570489	L-glutamate:4-aminobutyrate antiporter	WELL-CHARACTERIZED
ligA	b2411	2528161	2530176	DNA ligase	WELL-CHARACTERIZED
ssuA	b0936	995985	996944	aliphatic sulfonate ABC transporter periplasmic binding protein	WELL-CHARACTERIZED
rtcA	b4475	3555833	3556849	RNA 3'-terminal phosphate cyclase	PARTIAL
yciQ	b1268	1324746	1326641	DUF2207 domain-containing protein YciQ	UNCHARACTERIZED
apaG	b0050	51229	51606	DUF525 domain-containing protein ApaG	UNCHARACTERIZED
sucB	b0727	761522	762739	dihydrolipoyl-[2-oxoglutarate dehydrogenase E2 subunit] // <i>S</i>-succinyldihydrolipoyl-[2-oxoglutarate dehydrogenase E2 subunit] // lipoyl-[2-oxoglutarate dehydrogenase E2 sbunit] // 2-oxoglutarate dehydrogenase E2 subunit	WELL-CHARACTERIZED
fliJ	b1942	2017946	2018389	flagellar biosynthesis protein FliJ	WELL-CHARACTERIZED
wzyE	b3793	3978601	3979953	enterobacterial common antigen polymerase	WELL-CHARACTERIZED
sokX	b4701	2887353	2887411	small RNA SokX	UNCHARACTERIZED
frvX	b3898	4089855	4090925	peptidase M42 family protein FrvX	UNCHARACTERIZED
hyfR	b2491	2611900	2613912	DNA-binding transcriptional activator HyfR	WELL-CHARACTERIZED
yfcJ	b2322	2438942	2440120	putative transporter YfcJ	PARTIAL
fecA	b4291	4514353	4516677	ferric citrate outer membrane transporter	WELL-CHARACTERIZED
yjgL	b4253	4475437	4477251	protein YjgL	UNCHARACTERIZED
ebgR	b3075	3221466	3222449	DNA-binding transcriptional repressor EbgR	PARTIAL
ygjQ	b3086	3236540	3237232	DUF218 domain-containing protein YgjQ	UNCHARACTERIZED
purE	b0523	552591	553100	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	WELL-CHARACTERIZED
flgD	b1075	1131854	1132549	flagellar biosynthesis, initiation of hook assembly	WELL-CHARACTERIZED
murJ	b1069	1127839	1129374	lipid II flippase MurJ	WELL-CHARACTERIZED
rcdB	b3521	3672414	3673313	putative DNA-binding transcriptional regulator YhjC	PARTIAL
plsY	b3059	3204694	3205311	putative glycerol-3-phosphate acyltransferase	PARTIAL
nuoK	b2279	2395043	2395345	NADH:quinone oxidoreductase subunit K	WELL-CHARACTERIZED
gltT	b3969	4168372	4168447	tRNA-Glu(UUC)	WELL-CHARACTERIZED
eutD	b2458	2572489	2573505	phosphate acetyltransferase EutD	WELL-CHARACTERIZED
phoP	b1130	1189776	1190447	DNA-binding transcriptional dual regulator PhoP-phosphorylated // DNA-binding transcriptional dual regulator PhoP	WELL-CHARACTERIZED
cas3	b2761	2884553	2887219	CRISPR-associated endonuclease/helicase Cas3	WELL-CHARACTERIZED
sdsR	b4433	1923104	1923207	small regulatory RNA SdsR	WELL-CHARACTERIZED
